Station_ID,Site,Lives,Markets,Spat,SBox,DBox,NBox,OBox,z.Lives,z.Markets,z.Spat,z.SBox,z.DBox,z.NBox,z.OBox,p.Lives,p.Markets,p.Spat,p.SBox,p.DBox,p.NBox,p.OBox
1,Aberdeen Rock,1.7358490566037723,2.668238993710692,15.347484276729558,0.20754716981132076,0,-0.24842767295597487,-1.5613207547169812,0.0512751370517007,0.28224840035136817,0.30365845216495,0.32841918201369497,NaN,-0.26872720348936285,-0.3334362139800525,0.959,0.778,0.761,0.743,NaN,0.788,0.739
8,Bland Point,-4.060000000000002,-3.0599999999999996,88.9,0.039999999999999813,0,-0.28,-1.48,-0.08002442986587768,-0.4697978482106879,1.9024577259819915,0.024415303724530345,NaN,-0.3718689783741497,-0.4439447368499455,0.936,0.638,0.057,0.981,NaN,0.71,0.657
16,Brown Shoal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Brown's Bay 2,-13.153153153153152,3.846846846846847,-13.117117117117116,-0.09909909909909914,-0.21621621621621623,-0.1846846846846847,-0.27477477477477474,-0.22439058350263533,0.29338463876397297,-0.23829807021954952,-0.12950141609502494,-0.4048075249920447,-0.18884186492132582,-0.12660670779358738,0.822,0.769,0.812,0.897,0.686,0.85,0.899
20,Burton Point,15.894179894179892,-1.0370370370370372,48.49735449735449,-0.523809523809524,-0.6851851851851852,-0.42592592592592593,-1.896825396825397,0.3152279252996205,-0.13933481809939693,0.5712850969345177,-0.16230869515906018,-0.3235777731044959,-0.45131936993375776,-0.5071758042278607,0.753,0.889,0.568,0.871,0.746,0.652,0.612
24,Cape Toon,-3.846666666666664,-2.313333333333333,44.233333333333334,-1.4266666666666667,-0.22,-0.38,-1.8533333333333335,-0.053887942661895526,-0.4031012002928419,0.7893866616824652,-0.46246464097983914,-0.40331275667677124,-0.43276353519612465,-0.6961642070216179,0.957,0.687,0.43,0.644,0.687,0.665,0.486
33,P.G. 56 Cockrell Creek,-10.123809523809523,-3.180952380952381,-18.685714285714287,-0.6,0,-0.2857142857142857,-2.3333333333333335,-0.25081261292781687,-0.2990542978514246,-0.4119674762470148,-0.6146362971528593,NaN,-0.49908340894508724,-0.5127786259117274,0.802,0.765,0.68,0.539,NaN,0.618,0.608
37,Cranes Creek,-30.314285714285717,-3.495238095238095,-20.504761904761903,-1.1428571428571428,-0.02857142857142857,-0.34285714285714286,-4.304761904761905,-0.6603958462760942,-0.5267559719458474,-0.30107278314057484,-0.7948732358632749,-0.1690308509457033,-0.5015904816732886,-1.0674247000171448,0.509,0.598,0.763,0.427,0.866,0.616,0.286
39,Dameron Marsh East,57.74285714285714,-1.438095238095238,-15.114285714285714,-1.0666666666666667,0,0.1333333333333333,-0.49523809523809526,1.2908593349941835,-0.3351046722045024,-0.2924082463454338,-0.5249097361316388,NaN,0.1756103706151026,-0.1507430773039157,0.197,0.738,0.77,0.6,NaN,0.861,0.88
40,Day's Point,44.92613636363637,0.1120129870129869,51.21915584415584,0.3449675324675325,0,-0.008928571428571397,2.63474025974026,0.6247644692238251,0.015282210429740133,1.633242480627675,0.26880473834977203,NaN,-0.008077577158235774,1.0496999511203917,0.532,0.988,0.102,0.788,NaN,0.994,0.294
48,Fleeton Point,21.394736842105264,-2.4473684210526314,8.605263157894736,-1,0,-0.13157894736842105,-2.508771929824561,1.1391596739698697,-0.43458841604935217,0.39080935176920006,-0.5418955560352877,NaN,-0.2771082380470817,-0.5605798937274347,0.255,0.664,0.696,0.588,NaN,0.782,0.575
50,Ginney Point,-41.36190476190476,-5.057142857142857,-19.26666666666666,-0.8,0,-0.7142857142857143,-1.5428571428571427,-0.6856916473867154,-0.5519838760418502,-0.3853052297414927,-0.4338609156373124,NaN,-0.48699607654623733,-0.5222961883706684,0.493,0.581,0.7,0.664,NaN,0.626,0.601
64,Haynie Point,19.257142857142867,-4.914285714285714,-58.77142857142857,-1.1714285714285713,0.2,-0.17142857142857137,-5.685714285714286,0.28585493476248097,-0.2760759985500299,-0.36686436118501337,-0.4051959217789399,Inf,-0.19391670025024832,-0.8523970442570251,0.775,0.782,0.714,0.685,0,0.846,0.394
65,Hills Bay,11.662162162162161,3.418918918918919,42,-0.17567567567567566,-0.13513513513513514,-0.10810810810810811,-0.9256756756756757,0.19504702031346577,0.6919993924525699,1.6811959424899545,-0.15522949033813704,-0.38990643368252736,-0.27490128473220243,-0.2943195908575339,0.845,0.489,0.093,0.877,0.697,0.783,0.769
75,Iron Point Reef,-37.17857142857143,-8.821428571428571,-33.03571428571429,-1.1428571428571428,0,-0.5357142857142857,0.6071428571428568,-0.3995472535660601,-0.4866944245731266,-0.24725259458316032,-0.3715686733335794,NaN,-0.3278128442858734,0.09465045873978913,0.689,0.626,0.805,0.71,NaN,0.743,0.925
77,Island Bar,-7.055555555555557,-5.25,40.861111111111114,-1.3611111111111112,0,-0.3055555555555556,-1.25,-0.11706978492581009,-0.45446455221989396,1.03303231303291,-0.568959173452808,NaN,-0.4894797289663999,-0.49772984071430343,0.907,0.649,0.302,0.569,NaN,0.625,0.619
109,Page's Rock,4.9659259259259265,4.554074074074075,20.38222222222222,0.27148148148148143,0.007037037037037036,0.1837037037037037,-0.7637037037037038,0.23478253027290039,0.6713908278531572,2.4383521609771117,0.4731682850290874,0.04104506422856009,0.06733076540563585,-0.20981434029229537,0.814,0.502,0.015,0.636,0.967,0.946,0.834
