Station_ID	Site	Lives	Markets	Spat	SBox	DBox	NBox	OBox	z.Lives	z.Markets	z.Spat	z.SBox	z.DBox	z.NBox	z.OBox	p.Lives	p.Markets	p.Spat	p.SBox	p.DBox	p.NBox	p.OBox
169	White Shoal	1.260732811	-0.017123625	-0.087284954	-0.003690234	0	-0.319957048	-0.047448814	1.796094147	-0.022962333	-0.083224137	-0.003884135	NaN	-0.590479052	-0.053574966	0.072	0.982	0.934	0.997	NaN	0.555	0.957
174	Wreck Shoal	1.059973846	-0.131042705	0.847812672	-0.213010261	0	0.487588893	0.330978735	0.505829635	-0.097521374	0.378166865	-0.304549137	NaN	0.834889119	0.321291356	0.613	0.922	0.705	0.761	NaN	0.404	0.748
180	Morattico Bar	0.706830476	0.046209812	0.676886911	-0.046209812	0	0	0.23104906	1.346531314	0.145643816	2.086524361	-0.25819889	NaN	NaN	Inf	0.178	0.884	0.037	0.796	NaN	NaN	0
187	Rogue Point	0.327811303	0.052600465	0.384641712	-0.257341639	0	-0.290364861	-0.293749756	0.219575176	0.057115422	0.195869488	-0.279290714	NaN	-0.568395846	-0.390177089	0.826	0.954	0.845	0.78	NaN	0.57	0.696
193	Cruiser's Rock	0.792875938	0.175894462	-0.231489928	-0.672535408	-0.049698133	-0.320414066	0.20346174	0.463338035	0.234898699	-0.106178459	-0.761673955	-0.243309716	-0.586689125	0.312049896	0.643	0.814	0.915	0.446	0.808	0.557	0.755
198	Cross Rock	-0.39756919	-1.073681821	-0.307277954	-0.171492925	0	-0.510781561	-0.738396256	-0.269065848	-1.050964885	-0.188894258	-0.250439038	NaN	-0.609945842	-0.933215684	0.788	0.293	0.85	0.802	NaN	0.542	0.351
202	Mill Creek East	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
206	Milford Haven	0.817680886	0.764682434	0.878047635	0.065775789	0	-0.209626769	0.594494443	0.849370612	0.957491295	0.721560662	0.156823066	NaN	-0.549176543	0.847239434	0.396	0.338	0.471	0.875	NaN	0.583	0.397
210	Pultz Bar	0.893555303	1.69021703	3.112071108	0.123953153	0.094791427	0.10426161	0.312058652	0.613140839	2.240010323	1.647051238	0.215864072	0.197279582	0.354323902	0.508653735	0.54	0.025	0.1	0.829	0.844	0.723	0.611
213	Marshalls Rock	1.534111409	1.690561966	1.728855111	0.044856826	0.046656854	-0.033812058	0.432253021	1.10827039	2.071809346	1.110620562	0.067518938	0.113769319	-0.223676708	0.840086132	0.268	0.038	0.267	0.946	0.909	0.823	0.401
214	Byrd Rock	1.247442544	0.970740155	0.43607968	-0.069191527	-0.119488531	0.107122746	0.202285228	0.920833574	1.501906379	0.296579847	-0.138292265	-0.372591783	0.733461225	0.51753931	0.357	0.133	0.767	0.89	0.709	0.463	0.605
226	Mulberry	1.27402709	-0.799820706	1.969892123	0.411505875	0	-0.119302424	-0.173064764	0.506060494	-0.752590734	0.918846816	0.797326371	NaN	-0.195647047	-0.129276954	0.613	0.452	0.358	0.425	NaN	0.845	0.897
305	Heron Rock	-0.275070032	-0.9790148	0.58735433	0.037259788	-0.070997333	-0.32279286	-0.591488842	-0.185462529	-0.946863011	0.37692809	0.05413187	-0.293358459	-0.627831096	-0.711640125	0.853	0.344	0.706	0.957	0.769	0.53	0.477
312	Blackberry Hang	0.507068358	0.919986564	1.609020995	-0.407594306	-0.019804205	-0.155036126	0.247739961	0.542875207	0.899812447	1.348436167	-0.704137241	-0.169030851	-0.335549494	0.298638144	0.587	0.368	0.178	0.481	0.866	0.737	0.765
321	Burton Point B	-0.629993834	-0.51610792	-0.192573283	-0.03960841	0	-0.019804205	-0.151380496	-0.566503987	-0.662046794	-0.217723188	-0.242640596	NaN	-0.169030851	-0.311088237	0.571	0.508	0.828	0.808	NaN	0.866	0.756
326	Upper Deep Water Shoal	0.96438684	-1.47953746	1.178474827	0.154936778	0	-0.018583787	-0.487786506	0.386029161	-0.864662736	0.502271912	0.244464264	NaN	-0.035901652	-0.346835017	0.699	0.387	0.615	0.807	NaN	0.971	0.729
327	Lower Deep Water Shoal	0.938949971	-2.611850251	1.500362574	0.258187757	0	0.121778556	-1.114729047	0.616554817	-1.970235837	0.962564217	0.422962642	NaN	0.181187941	-0.984447565	0.538	0.049	0.336	0.672	NaN	0.856	0.325
328	Upper Horsehead	-0.210494735	-1.230792007	0.548913208	-0.579484646	0	-0.643702154	-0.894708398	-0.339942682	-0.925610066	0.787119046	-0.828068359	NaN	-0.847463312	-1.282015872	0.734	0.355	0.431	0.408	NaN	0.397	0.2
329	Middle Horsehead	-1.069478903	-0.574629066	-0.100405368	-0.218982049	0	-0.269103919	-1.00128141	-0.667011259	-0.46377608	-0.059096793	-0.28364895	NaN	-0.344094333	-1.191366616	0.505	0.643	0.953	0.777	NaN	0.731	0.234
